explainer,top_k,random_trials,evaluated_label_assignments,mean_base_score,mean_top_deleted_score,mean_random_deleted_score,mean_top_score_drop,mean_random_score_drop,drop_ratio_top_vs_random
contrastive_projection_intrinsic,3,50,158,0.4786092359772064,0.4480870901407136,0.47266712167471914,0.030522145836492886,0.005942114302487263,5.136580059342996
svm_tfidf_coefficients,3,50,158,0.49246384590328557,0.40580814373315655,0.4712723223114697,0.08665570217012901,0.021191523591815902,4.089168095662322
