fold,model,micro_f1,macro_f1,weighted_f1,hamming_loss,lrap,threshold_mean
1,tfidf_logistic_regression,0.6754385964912281,0.6165543896094181,0.6699677483218139,0.08736717827626919,0.798734796949083,0.440909090909091
1,tfidf_linear_svm,0.6637168141592921,0.6005941226529462,0.664113077171356,0.089728453364817,0.8055431401210623,0.440909090909091
1,hybrid_quantum_svm_fusion_pl,0.6724137931034483,0.6158789726276993,0.6744737636118193,0.089728453364817,0.8122015610651977,0.4636363636363637
2,tfidf_logistic_regression,0.6637931034482759,0.6219925355016337,0.6845121608729478,0.09330143540669857,0.8368478013214858,0.4181818181818182
2,tfidf_linear_svm,0.5347222222222222,0.5692583513286796,0.6730595280670243,0.16028708133971292,0.8459852282220706,0.4227272727272728
2,hybrid_quantum_svm_fusion_pl,0.5371024734982333,0.6136333208024635,0.6890054733918516,0.15669856459330145,0.8444976076555024,0.440909090909091
3,tfidf_logistic_regression,0.6285714285714286,0.5348765882675399,0.6039047773405405,0.07775119617224881,0.8028143274853804,0.48181818181818187
3,tfidf_linear_svm,0.6557377049180327,0.5728526656756322,0.6456407063494087,0.07535885167464115,0.8117955874534822,0.45909090909090916
3,hybrid_quantum_svm_fusion_pl,0.6777777777777778,0.5986646835697615,0.666110261280797,0.06937799043062201,0.8153748481051114,0.49090909090909096
4,tfidf_logistic_regression,0.5803108808290155,0.5219357331517039,0.5790478066523387,0.09688995215311005,0.7780215216070483,0.45909090909090916
4,tfidf_linear_svm,0.6309523809523809,0.5154456654456654,0.5979308178337305,0.07416267942583732,0.7804938482570064,0.49090909090909096
4,hybrid_quantum_svm_fusion_pl,0.5934065934065934,0.4908065618591934,0.5579805095262428,0.08851674641148326,0.7851404078377765,0.49090909090909096
5,tfidf_logistic_regression,0.5263157894736842,0.5031481090445346,0.5598662286344512,0.1291866028708134,0.7785018891926789,0.43636363636363645
5,tfidf_linear_svm,0.5573770491803278,0.5617772928251125,0.599695121261454,0.1291866028708134,0.7843681172628544,0.4318181818181818
5,hybrid_quantum_svm_fusion_pl,0.5882352941176471,0.5683500364142997,0.6086677792318904,0.10047846889952153,0.7804364130022029,0.48181818181818187
