model,threshold,micro_f1,macro_f1,weighted_f1,hamming_loss,label_ranking_average_precision
tfidf_logistic_regression,0.45,0.6298701298701299,0.5266404439923814,0.6070722719652927,0.09011857707509881,0.7861438923395445
tfidf_linear_svm,0.45,0.621160409556314,0.5205258899995429,0.5991509283901827,0.08774703557312254,0.7842783424305164
quantum_contrastive_projection,0.45,0.4345991561181435,0.44602324691953366,0.4676918434272685,0.21185770750988142,0.7098936570675701
hybrid_quantum_svm_fusion,0.45,0.6254295532646048,0.5276045990847809,0.6021017008911077,0.08616600790513834,0.7775210176297133
